time,id,status,currency,buying_power,regt_buying_power,daytrading_buying_power,cash,portfolio_value,pattern_day_trader,trading_blocked,transfers_blocked,account_blocked,created_at,trade_suspended_by_user,multiplier,shorting_enabled,equity,last_equity,long_market_value,short_market_value,initial_margin,maintenance_margin,last_maintenance_margin,sma,daytrade_count
2019-05-08 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9721.74,9721.74,0,5671.1,5401.48,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5401.48,5393.24,405.8,-675.42,540.61,121.74,121.72,0,0
2019-05-09 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9725.3,9725.3,0,5671.1,5399.76,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5399.76,5401.48,401.44,-672.78,537.11,120.43,121.74,0,0
2019-05-10 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9709.82,9709.82,0,5671.1,5390.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5390.04,5399.76,394.6,-675.66,535.13,118.38,120.43,0,0
2019-05-11 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9709.82,9709.82,0,5671.1,5390.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5390.04,5390.04,394.6,-675.66,535.13,118.38,118.38,0,0
2019-05-12 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9709.82,9709.82,0,5671.1,5390.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5390.04,5390.04,394.6,-675.66,535.13,118.38,118.38,0,0
2019-05-13 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9786.38,9786.38,0,5671.1,5400.12,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5400.12,5390.04,371.44,-642.42,506.93,111.43,118.38,0,0
2019-05-14 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9756.78,9756.78,0,5671.1,5394.16,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5394.16,5400.12,377.3,-654.24,515.77,113.19,111.43,0,0
2019-05-15 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9739.0,9739.0,0,5671.1,5391.26,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5391.26,5394.16,381.84,-661.6800000000001,521.76,114.55,113.19,0,0
2019-05-16 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9756.7,9756.7,0,5671.1,5396.12,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5396.12,5391.26,380.28,-655.26,517.77,114.08,114.55,0,0
2019-05-17 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9797.94,9797.94,0,5671.1,5408.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5408.32,5396.12,377.96,-640.74,509.35,113.39,114.08,0,0
