id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,asset_id,symbol,asset_class,qty,filled_qty,filled_avg_price,order_type,type,side,time_in_force,limit_price,stop_price,status
7a42f792-eb73-4f7d-929b-d5334976c391,816000cf-3194-4adc-8e81-9a0386c77fe7,2019-06-10T00:00:00Z,2019-06-10T00:00:00Z,2019-06-10T00:00:00Z,2019-06-10T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,4,4,152.8,market,market,buy,day,,,filled
e7c40382-b659-4346-a9c5-a13432ee08a9,1ca003db-38ae-43f9-aa0f-42fd813a860c,2019-06-11T00:00:00Z,2019-06-11T00:00:00Z,2019-06-11T00:00:00Z,2019-06-11T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,5,5,135.92,market,market,sell,day,,,filled
7a3fc64a-e3da-4c8f-a7aa-1a6120a7022e,6d714c80-0444-4128-8cb9-fa64845955c1,2019-06-11T00:00:00Z,2019-06-11T00:00:00Z,2019-06-11T00:00:00Z,2019-06-11T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,4,4,150.05,market,market,buy,day,,,filled
18e87421-e79b-4b37-b46d-cb7268a3ab61,e518814c-812f-433e-ae72-def8c718925f,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,37,37,27.76,market,market,sell,day,,,filled
6b9a6470-9977-466d-8fbc-f003cc5a0026,4e88b02b-7010-4d5d-857c-13abd8612184,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,1,1,135.78,market,market,buy,day,,,filled
9ed8c560-5968-4e78-a5dd-104e21b51f36,8b5ba60c-b9ce-422d-925f-b8a90cc1fb2a,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,2019-06-13T00:00:00Z,,,,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,NFLX,us_equity,1,1,343.57,market,market,buy,day,,,filled
482df188-28be-4a42-9a83-d11abdea97c5,bf9919b3-7930-4c85-9796-303b92dc6f4c,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,7,7,109.07,market,market,sell,day,,,filled
189e7066-028a-4b82-b050-3c9f4bfd52f7,d4c6ba62-6193-4553-8bd9-444684a5a9cd,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,135.64,market,market,buy,day,,,filled
b649ff07-34bd-4334-96b5-8bbdc64680d9,ba431001-a9a1-4bd2-b7ac-9ec7ec3a136d,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,2019-06-14T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,4,4,26.84,market,market,buy,day,,,filled
737e1a4a-49d8-43a7-ad6d-dbf00c0530af,bda664fb-56bf-4d24-be17-8ae56bb6f2d4,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,3,3,192.745,market,market,sell,day,,,filled
5bf1a0c8-6381-4d3a-ab57-b8ab54eb0d88,edfac757-2175-4b47-885f-22a37928a95e,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,3,3,26.84,market,market,buy,day,,,filled
9d14091d-5745-414d-a03c-ba89418c8995,873e697c-4653-439f-8bce-5a729094e10a,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,,,,440efabf-b53c-4d70-b6e5-abb4f53e7104,TXN,us_equity,7,7,107.28,market,market,buy,day,,,filled
ef9579e3-4770-40e1-9f41-588f6ce3ff76,64230422-b62d-469f-866f-76608d70229c,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,2019-06-16T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,1,1,109.07,market,market,buy,day,,,filled
3546bf92-a523-42a5-a616-e19c6fdb3d63,00de1ee9-e170-4e07-92bc-ce5c74d74d34,2019-06-26T00:00:00Z,2019-06-26T00:00:00Z,2019-06-26T00:00:00Z,2019-06-26T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,1,1,149.04,market,market,sell,day,,,filled
6c45a7eb-b93c-4b7f-a1ef-610241ffc5c4,dbcedb07-1e8e-4c66-b191-fd51c588faf0,2019-06-26T00:00:00Z,2019-06-26T00:00:00Z,2019-06-26T00:00:00Z,2019-06-26T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,1,1,136.48,market,market,sell,day,,,filled
