time,asset_class,asset_id,avg_entry_price,change_today,cost_basis,current_price,exchange,lastday_price,market_value,qty,side,symbol,unrealized_intraday_pl,unrealized_intraday_plpc,unrealized_pl,unrealized_plpc
2019-06-19 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,111.3,NASDAQ,111.04,779.1,7,long,TXN,0,0,28.14,0.03747
2019-06-20 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,138.83,NYSE,137.1,-694.1500000000001,-5,short,IBM,0,0,-14.55,-0.02141
2019-06-20 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,157.21,NYSE,154.1,628.84,4,long,CRM,0,0,28.64,0.04772
2019-06-20 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,28.41,NASDAQ,28.03,-994.35,-35,short,DISCK,0,0,-20.65,-0.02121
2019-06-20 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,365.07,NASDAQ,363.49,365.07,1,long,NFLX,0,0,21.5,0.06258
2019-06-20 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,110.3,NYSE,109.62,-772.1,-7,short,WMT,0,0,-8.61,-0.01128
2019-06-20 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,138.81,NYSE,138.18,555.24,4,long,DG,0,0,12.68,0.02337
2019-06-20 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,199.3794,NASDAQ,197.86,-598.1382,-3,short,AAPL,0,0,-19.9,-0.03441
2019-06-20 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,112.67,NASDAQ,111.3,788.69,7,long,TXN,0,0,37.73,0.05024
2019-06-21 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,139.2,NYSE,138.83,-696.0,-5,short,IBM,0,0,-16.4,-0.02413
2019-06-21 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,156.78,NYSE,157.21,627.12,4,long,CRM,0,0,26.92,0.04485
2019-06-21 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,28.27,NASDAQ,28.41,-989.4499999999999,-35,short,DISCK,0,0,-15.75,-0.01618
2019-06-21 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,368.88,NASDAQ,365.07,368.88,1,long,NFLX,0,0,25.31,0.07367
2019-06-21 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,111.14,NYSE,110.3,-777.98,-7,short,WMT,0,0,-14.49,-0.01898
2019-06-21 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,138.74,NYSE,138.81,554.96,4,long,DG,0,0,12.4,0.02285
2019-06-21 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,198.8,NASDAQ,199.3794,-596.4000000000001,-3,short,AAPL,0,0,-18.16,-0.03141
2019-06-21 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,112.28,NASDAQ,112.67,785.96,7,long,TXN,0,0,35.0,0.04661
2019-06-22 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,139.2,NYSE,139.2,-696.0,-5,short,IBM,0,0,-16.4,-0.02413
2019-06-22 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,156.78,NYSE,156.78,627.12,4,long,CRM,0,0,26.92,0.04485
2019-06-22 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,28.27,NASDAQ,28.27,-989.4499999999999,-35,short,DISCK,0,0,-15.75,-0.01618
2019-06-22 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,368.88,NASDAQ,368.88,368.88,1,long,NFLX,0,0,25.31,0.07367
2019-06-22 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,111.14,NYSE,111.14,-777.98,-7,short,WMT,0,0,-14.49,-0.01898
2019-06-22 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,138.74,NYSE,138.74,554.96,4,long,DG,0,0,12.4,0.02285
2019-06-22 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,198.8,NASDAQ,198.8,-596.4000000000001,-3,short,AAPL,0,0,-18.16,-0.03141
2019-06-22 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,112.28,NASDAQ,112.28,785.96,7,long,TXN,0,0,35.0,0.04661
2019-06-23 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,139.2,NYSE,139.2,-696.0,-5,short,IBM,0,0,-16.4,-0.02413
2019-06-23 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,156.78,NYSE,156.78,627.12,4,long,CRM,0,0,26.92,0.04485
2019-06-23 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,28.27,NASDAQ,28.27,-989.4499999999999,-35,short,DISCK,0,0,-15.75,-0.01618
2019-06-23 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,368.88,NASDAQ,368.88,368.88,1,long,NFLX,0,0,25.31,0.07367
2019-06-23 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,111.14,NYSE,111.14,-777.98,-7,short,WMT,0,0,-14.49,-0.01898
2019-06-23 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,138.74,NYSE,138.74,554.96,4,long,DG,0,0,12.4,0.02285
2019-06-23 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,198.8,NASDAQ,198.8,-596.4000000000001,-3,short,AAPL,0,0,-18.16,-0.03141
2019-06-23 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,112.28,NASDAQ,112.28,785.96,7,long,TXN,0,0,35.0,0.04661
2019-06-24 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,139.36,NYSE,139.2,-696.8000000000001,-5,short,IBM,0,0,-17.2,-0.02531
2019-06-24 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,152.54,NYSE,156.78,610.16,4,long,CRM,0,0,9.96,0.01659
2019-06-24 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,28.54,NASDAQ,28.27,-998.9,-35,short,DISCK,0,0,-25.2,-0.02588
2019-06-24 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,371.04,NASDAQ,368.88,371.04,1,long,NFLX,0,0,27.47,0.07995
2019-06-24 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,111.26,NYSE,111.14,-778.82,-7,short,WMT,0,0,-15.33,-0.02008
2019-06-24 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,137.13,NYSE,138.74,548.52,4,long,DG,0,0,5.96,0.01098
